President,Party
Abraham Lincoln ,Republican
Andrew Jackson ,Democrat
Andrew Johnson ,National Union
Barack Obama ,Democrat
Benjamin Harrison ,Republican
Bill Clinton,Democrat
Calvin Coolidge ,Republican
Chester A. Arthur ,Republican
Donald Trump ,Republican
Dwight D. Eisenhower ,Republican
Franklin D. Roosevelt ,Democrat
Franklin Pierce ,Democrat
George H. W. Bush ,Republican
George W. Bush ,Republican
George Washington ,Federalist
Gerald Ford ,Republican
Grover Cleveland ,Democrat
Harry S. Truman ,Democrat
Herbert Hoover ,Republican
James Buchanan ,Democrat
James A. Garfield ,Republican
James K. Polk ,Democrat
James Madison ,Democratic-Republican
James Monroe ,Democratic-Republican
Jimmy Carter,Democrat
John Adams ,Federalist
John F. Kennedy ,Democrat
John Quincy Adams ,Democratic-Republican
John Tyler ,Whig
Lyndon B. Johnson ,Democrat
Martin Van Buren ,Democrat
Millard Fillmore ,Whig
Richard M. Nixon ,Republican
Ronald Reagan ,Republican
Rutherford B. Hayes,Republican
Theodore Roosevelt ,Republican
Thomas Jefferson ,Democratic-Republican
Ulysses S. Grant ,Republican
Warren G. Harding ,Republican
William Harrison ,Whig
William McKinley ,Republican
William Taft ,Republican
Woodrow Wilson ,Democrat
Zachary Taylor ,Whig
